document_id,extension,size_bytes,extraction_attempted,extraction_method,tokenization_attempted,residual_high_confidence_pi_pattern_count,blocked_for_ai_extraction,needs_operator_review,status
doc_b70b7911fb016259,.pdf,1106445,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_73a1a038e8ba85f3,.pdf,4078118,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_21d47bd63c5de503,.pdf,1473281,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d8391d810b864d47,.pdf,807461,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_d3f594879dbeff74,.pdf,5786303,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5deeb0bdc629bf78,.pdf,26983,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_5f9b38bd6fda57ea,.pdf,72163,False,not_attempted,False,0,True,True,duplicate
doc_8886015894373da1,.pdf,9458914,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_e220f2c0527b720e,.pdf,66424,False,not_attempted,False,0,True,True,duplicate
doc_d9f8434bacb0f259,.pdf,104501,False,not_attempted,False,0,True,True,duplicate
doc_a61f0b50923208a6,.pdf,10010189,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_159fee9569d2bdea,.pdf,125382,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_b9ce8503e8c9184c,.pdf,58187,False,not_attempted,False,0,True,True,duplicate
doc_e926a62b9fd16875,.pdf,50905,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_9c231f685a9942fb,.pdf,28994,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_ed651db79605e1f0,.pdf,3402703,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_78496c66b6864d94,.pdf,94591,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_bab77e3c05170e3d,.pdf,59725,False,not_attempted,False,0,True,True,duplicate
doc_7db91d832ffc4d8c,.pdf,64246,False,not_attempted,False,0,True,True,duplicate
doc_8665d1c4cbf49163,.pdf,60342,False,not_attempted,False,0,True,True,duplicate
doc_a32736a569766610,.pdf,105938,False,not_attempted,False,0,True,True,duplicate
doc_323059f3b5a6866d,.pdf,77963,False,not_attempted,False,0,True,True,duplicate
doc_c80863ca5d5b6105,.pdf,123173,False,not_attempted,False,0,True,True,duplicate
doc_ba4cd0d173141919,.pdf,9942835,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_dd5d89c77d3207d5,.pdf,1718152,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_2791fd5d95f3ea18,.pdf,46578,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_33ff50dc79f236e8,.pdf,54036,True,pdf_text_extraction_unavailable,False,0,True,True,extraction_unavailable
doc_60c41891de0927d2,.mp3,16720456,False,not_attempted,False,0,True,True,unsupported
doc_f1e73df9f066187c,.jpg,3800485,True,pytesseract,True,0,False,False,ready_for_ai_extraction
doc_71e9b3316cd8ca65,.jpg,3609920,True,pytesseract,False,0,True,True,extraction_unavailable
doc_210569f1ba031119,.jpg,3035180,True,pytesseract,True,0,False,False,ready_for_ai_extraction
